
------- DEVICE 0 -------
name                Tesla K20Xm
Compatibility       3.5
clockRate (MHz)     732
memClockRate (MHz)  2600
totalGlobalMem      6039339008
totalConstMem       65536
l2CacheSize         1572864
sharedMemPerBlock   49152
regsPerBlock        65536
warpSize            32
memPitch            2147483647
maxThreadsPerBlock  1024
maxThreadsPerMP     2048
multiProcessorCount 14
maxThreadsDim[3]    1024,1024,64
maxGridSize[3]      2147483647,65535,65535
textureAlignment    512
deviceOverlap       1

Using threads: square 256, splice 128.
Starting M525457 fft length = 32K
|   Date     Time    |   Test Num     Iter        Residue        |    FFT   Error     ms/It     Time  |       ETA      Done   |
|  Nov 05  08:43:44  |    M525457    410000  0x0e6ab1de51e1c9a4  |    32K  0.00085   0.0807    0.80s  |         0:09  78.02%  |
|  Nov 05  08:43:45  |    M525457    420000  0x662d977422fb4d09  |    32K  0.00080   0.0809    0.80s  |         0:08  79.93%  |
|  Nov 05  08:43:46  |    M525457    430000  0x4872c2911187cfd8  |    32K  0.00076   0.0801    0.80s  |         0:07  81.83%  |
|  Nov 05  08:43:46  |    M525457    440000  0xd330d2c084e79ecb  |    32K  0.00079   0.0810    0.81s  |         0:06  83.73%  |
|  Nov 05  08:43:47  |    M525457    450000  0xdedfac2312b8e920  |    32K  0.00085   0.0802    0.80s  |         0:06  85.64%  |
|  Nov 05  08:43:48  |    M525457    460000  0x316ac6e6cb197fee  |    32K  0.00079   0.0805    0.80s  |         0:05  87.54%  |
|  Nov 05  08:43:49  |    M525457    470000  0x4afc56e4907531b0  |    32K  0.00079   0.0812    0.81s  |         0:04  89.44%  |
|  Nov 05  08:43:50  |    M525457    480000  0x9818fd973ef1ff43  |    32K  0.00079   0.0800    0.80s  |         0:03  91.34%  |
|  Nov 05  08:43:51  |    M525457    490000  0xec8a103e8c31a658  |    32K  0.00073   0.0803    0.80s  |         0:02  93.25%  |
|  Nov 05  08:43:51  |    M525457    500000  0x02cfd6feff189ae2  |    32K  0.00077   0.0812    0.81s  |         0:02  95.15%  |
|  Nov 05  08:43:52  |    M525457    510000  0x5534c7b46be47573  |    32K  0.00079   0.0807    0.80s  |         0:01  97.05%  |
|  Nov 05  08:43:53  |    M525457    520000  0x12a554d1bc369d45  |    32K  0.00079   0.0802    0.80s  |         0:00  98.96%  |
M( 525457 )C, 0x1f228a0650b9a6f1, 32K, CUDALucas v2.05.1, estimated total time = 0:42

